PRODUCT_CATEGORY_LEVEL1,PRODUCT_CATEGORY_LEVEL2,PRODUCT_CATEGORY_LEVEL3,PRODUCT_MERCH_CLASSIFICATION1,PRODUCT_MERCH_CLASSIFICATION2,PRODUCT_MERCH_CLASSIFICATION3,PRODUCT_MERCH_CLASSIFICATION4
Dog,Cleaning,Vacuums & Steam Cleaners,Hard Goods,Technology,Floorcare,Stick Vacuums
Dog,"Beds, Crates & Gear",Doors,Hard Goods,Home Goods,Pet Proofing,"Door, Window & Screen Protectors"
Cat,Litter & Accessories,Litter,Cat Consumables,Litter,Clumping Clay,Value
Cat,Toys,Toys,Hard Goods,Toys,Scratcher Toys,Hanging Scratchers
Cat,Grooming,Creams & Rinses,Hard Goods,Beauty & Grooming,Eye & Ear Grooming,Ear Cleaners
Cat,Prescription Treats,Crunchy Treats,Healthcare,Prescription Food & Treats,Weight Management,
Cat,Flea & Tick,Oral Treatments,Healthcare,Flea & Tick,Oral Treatments,
Cat,Health & Wellness,Dental Care,Healthcare,Over the Counter,"Dental Sprays, Foams & Wipes",
Cat,Prescription Food,Dry Food,Healthcare,Prescription Food & Treats,Urinary Care,
Cat,Food,Wet Food,Cat Consumables,Cat Food,Wet Food,Premium Natural
Cat,Food,Dry Food,Cat Consumables,Cat Food,Dry Food,Core Natural
Dog,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,Urinary & Kidney Care,
Dog,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,"Allergy, Sensitivities & Respiratory Care",
Dog,Toys,Toys,Hard Goods,Toys,Chew Toys,Durable Chew Toys
Dog,Grooming,Towels & Accessories,Hard Goods,Beauty & Grooming,Grooming Accessories,Groomer Accessories
Cat,"Beds, Crates & Gear",Furniture,Hard Goods,Beds & Furniture,Furniture,Scratchers
Dog,Grooming,Towels & Accessories,Hard Goods,Beauty & Grooming,Grooming Equipment,Grooming Tables
Dog,Health & Wellness,Dental Care,Healthcare,Over the Counter,Toothpaste & Gels,
Dog,Dog Apparel,Jerseys,Hard Goods,Apparel,Apparel,Evergreen Apparel
Cat,Treats,Dehydrated Treats,Cat Consumables,Cat Treats,Freeze Dried & Dehydrated,Freeze Dried & Dehydrated
Cat,Food,Wet Food Toppings,,,,
Dog,Training,Potty Training,,,,
Dog,Grooming,Shampoos & Conditioners,,,,
Cat,Food,Dry Food Toppings,Cat Consumables,Cat Food,Toppers,Dry Food Toppers
Cat,Bowls & Feeders,Storage & Accessories,Hard Goods,Bowls & Feeders,Storage & Accessories,Toy Bins
Cat,Food,Dry Food,Science,Science Food,Dry Food,
Dog,Waste Management,Potty Pads & Diapers,Hard Goods,Waste Management,Potty Pads & Diapers,Male Wraps
Dog,Dog Apparel,Pajamas,Hard Goods,Apparel,Apparel,Seasonal Apparel
Dog,Bowls & Feeders,Placemats,Hard Goods,Personalized & Gifting,Personalized Pet Products,Personalized Bowls & Placemats
Cat,Toys,Toys,Hard Goods,Toys,Fetch Toys,Tennis Balls
Cat,Litter & Accessories,Waste Disposal,Hard Goods,Litter Accessories,Waste Disposal,Litter Scoops
Dog,Dog Apparel,Sweaters & Hoodies,Hard Goods,Personalized & Gifting,Personalized Pet Products,Personalized Apparel
Dog,Leashes & Collars,Collars,,,,
Cat,Health & Wellness,"Recovery Cones, Collars & Apparel",Healthcare,Over the Counter,"Recovery Cones, Collars, & Apparel",
Dog,Dog Apparel,Pajamas,Hard Goods,Apparel,Apparel,Evergreen Apparel
Cat,Litter & Accessories,Waste Disposal,Consumables,Litter,Waste Disposal,
Dog,Leashes & Collars,Harnesses,Hard Goods,Personalized & Gifting,Personalized Pet Products,"Personalized Leashes, Collars, & Harnesses"
Cat,Bowls & Feeders,Feeders & Waterers,Hard Goods,Bowls & Feeders,Feeders & Waterers,Feeders
Cat,Grooming,"Sprays, Foams & Wipes",Hard Goods,Beauty & Grooming,Eye & Ear Grooming,Ear Wipes
Cat,Food,Dry Food,Cat Consumables,Cat Food,Dry Food,Premium Natural
Dog,Leashes & Collars,Leashes,Hard Goods,"Leashes, Collars & Harnesses",Leashes,Standard-Solid Leashes
Dog,Food,Wet Food,Dog Consumables,Dog Food,Wet Food,Value
Dog,Toys,Toys,Hard Goods,Toys,Chew Toys,Nylon Chew Toys
Dog,Leashes & Collars,Harnesses,Hard Goods,"Leashes, Collars & Harnesses",Harnesses,Car Safety Harness
Cat,Food,Wet Food,Consumables,Core Food,Wet Food,
Dog,"Beds, Crates & Gear",Beds,Hard Goods,Beds & Furniture,Beds,Sofa Beds
Cat,Food,Dry Food,Premium,Pantry,Dry Food,
Cat,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,"Hip, Joint & Pain Care",
Dog,"Beds, Crates & Gear",Doors,Hard Goods,Containment & Gear,Gear,Doors
Dog,"Beds, Crates & Gear",Carriers,,,,
Dog,Grooming,Grooming Tools,Hard Goods,Beauty & Grooming,Brushes & Combs,Curry Brushes
Dog,Bowls & Feeders,Storage & Accessories,Hard Goods,Personalized & Gifting,Personalized Pet Products,Personalized Bowls & Placemats
Dog,Toys,Toys,Hard Goods,Toys,Interactive Toys,Maze Toys
Dog,Health & Wellness,Medications,,,,
Cat,Bowls & Feeders,Feeders & Waterers,,,,
Cat,Prescription Food,Wet Food,Healthcare,Prescription Food & Treats,Thyroid Care,
Dog,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,Multivitamins,
Dog,Bowls & Feeders,Bowls & Diners,Hard Goods,Bowls & Feeders,Bowls & Diners,Elevated Bowls
Dog,Treats,Rawhide,Consumables,Core Treats,Natural & Long Lasting Treats,
Dog,Training,Bark Control & Remote Training,Hard Goods,Technology,Bark Control & Remote Training,Remote Trainers
Dog,Prescription Food,Wet Food,Healthcare,Prescription Food & Treats,Urinary Care,
Cat,Toys,Toys,Hard Goods,Toys,Chew Toys,Other Chew Toys
Cat,Litter & Accessories,Litter,Cat Consumables,Litter,Systems,Ultra Premium
Dog,Bowls & Feeders,Bowls & Diners,Hard Goods,Personalized & Gifting,Personalized Pet Products,Personalized Bowls & Placemats
Dog,Cleaning,Cleaners & Stain Removers,Hard Goods,Waste Management,Cleaners & Stain Removes,Dog Cleaners & Stain Removers
Dog,Prescription Food,Wet Food,Healthcare,Prescription Food & Treats,Heart & Liver Care,
Cat,Cleaning,Cleaners & Stain Removers,Hard Goods,Household,Cleaners,"Detergents, Carpet Cleaners, & Disinfectants"
Dog,Treats,Dehydrated Treats,Dog Consumables,Dog Treats,Pill Wraps,Pill Wraps
Cat,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,"Allergy, Sensitivities & Respiratory Care",
Dog,Health & Wellness,First Aid,Healthcare,Over the Counter,Skin & Coat Care,
Dog,Bowls & Feeders,Feeders & Waterers,Hard Goods,Technology,Automation Products,Plastic & Other Fountains
Dog,"Beds, Crates & Gear",Beds,Hard Goods,Beds & Furniture,Beds,Elevated & Outdoor Beds
Dog,Flea & Tick,Collars,Healthcare,Flea & Tick,Collars,
Cat,Litter & Accessories,Mats,Hard Goods,Litter Accessories,Mats,Litter Mats
Cat,"Beds, Crates & Gear",Furniture,Hard Goods,Beds & Furniture,Furniture,Cat Trees - 60-69 inches
Dog,Prescription Food,Dry Food,Healthcare,Prescription Food & Treats,Weight Management,
Dog,Health & Wellness,Medications,Healthcare,Over the Counter,Digestive Care,
Cat,"Beds, Crates & Gear",Furniture,Hard Goods,Beds & Furniture,Furniture,Other Furniture
Dog,Cleaning,Vacuums & Steam Cleaners,Hard Goods,Technology,Floorcare,Canister Vacuums
Cat,Toys,Toys,Hard Goods,Toys,Scratcher Toys,Premium Scratchers
Dog,"Beds, Crates & Gear",Crates,,,,
Dog,Prescription Food,Dry Food,Healthcare,Prescription Food & Treats,Oncology Care,
Dog,Health & Wellness,Medications,Healthcare,Over the Counter,Wound Care,
Cat,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,Brain & Epilepsy Care,
Cat,Litter & Accessories,Litter,Cat Consumables,Litter,Crystal,Value
Dog,Dog Apparel,Coats,Hard Goods,Apparel,Apparel,Micro Season Apparel
Dog,Grooming,"Sprays, Foams & Wipes",Hard Goods,Beauty & Grooming,Skin & Coat Grooming,"Sprays, Foams & Fragrances"
Dog,"Beds, Crates & Gear",Steps & Ramps,Hard Goods,Containment & Gear,Gear,Metal & Other Steps & Ramps
Dog,Leashes & Collars,Leashes,Hard Goods,"Leashes, Collars & Harnesses",Leashes,Double Leashes
Dog,Food,Wet Food,Consumables,Core Food,Natural,
Cat,Treats,Crunchy Treats,Consumables,Core Treats,Biscuits & Crunchy Treats,
Cat,Treats,Freeze Dried Treats,Consumables,Core Treats,Freeze-Dried Treats,
Dog,Waste Management,Poop Bags,,,,
Cat,Flea & Tick,Collars,Healthcare,Flea & Tick,Collars,
Cat,Bowls & Feeders,Bowls & Diners,Hard Goods,Bowls & Feeders,Bowls & Diners,Slow Feeders
Dog,Bowls & Feeders,Feeders & Waterers,Hard Goods,Bowls & Feeders,Storage & Accessories,Food & Treat Storage
Cat,"Beds, Crates & Gear",Beds,Hard Goods,Beds & Furniture,Beds,Blankets
Dog,Treats,Rawhide,,,,
Cat,Food,Freeze Dried Food,,,,
Dog,Treats,Bully Sticks,,,,
Cat,Grooming,Grooming Tools,,,,
Dog,Health & Wellness,Stress & Anxiety,Healthcare,Over the Counter,Calming Apparel,
Cat,Toys,Toys,Hard Goods,Toys,Plush Toys,Basic Cat Plush Toys
Cat,Treats,Dental Treats,Cat Consumables,Cat Treats,Dental,Dental
Dog,Leashes & Collars,ID Tags & Accessories,Hard Goods,Personalized & Gifting,Personalized ID Tags,Enameled & Coated ID Tags
Cat,Litter & Accessories,Litter Boxes,Hard Goods,Technology,Automation Products,Automatic Litter Boxes
Dog,Cleaning,Vacuums & Steam Cleaners,Hard Goods,Technology,Floorcare,Robotic Vacuums
Cat,Flea & Tick,Spot Treatments,Healthcare,Flea & Tick,Spot Treatments,
Cat,Health & Wellness,Test Kits,Healthcare,Over the Counter,Test Kits,
Dog,Health & Wellness,Vitamins & Supplements,Healthcare,Over the Counter,Nursing Kits & Supplies,
Dog,Health & Wellness,Stress & Anxiety,Hard Goods,Technology,Calming Devices,Calming Devices
Dog,Training,Repellents,Hard Goods,Home Goods,Pet Proofing,Child Locks
Dog,Grooming,Shampoos & Conditioners,Hard Goods,Beauty & Grooming,Skin & Coat Grooming,Shampoos & Conditioners
Cat,"Beds, Crates & Gear",Furniture,Hard Goods,Beds & Furniture,Furniture,Cat Trees - Over 70 inches
Cat,Leashes & Collars,Collars,Hard Goods,Personalized & Gifting,Personalized Pet Products,"Personalized Leashes, Collars, & Harnesses"
Dog,Dog Apparel,Outdoor Apparel,Hard Goods,Apparel,Apparel,Micro Season Apparel
Dog,Dog Apparel,Apparel Accessories,Hard Goods,Apparel,Apparel,Micro Season Apparel
Dog,Dog Apparel,Shirts & Dresses,Hard Goods,Personalized & Gifting,Personalized Pet Products,Personalized Apparel
Cat,Litter & Accessories,Liners,Hard Goods,Litter Accessories,Liners,Reusable Liners
Cat,Litter & Accessories,Litter Boxes,Hard Goods,Litter Accessories,Litter Boxes,Disposable Litter Boxes
Cat,Grooming,Brushes & Combs,Hard Goods,Beauty & Grooming,Brushes & Combs,Combs
Dog,Health & Wellness,Medications,Healthcare,Over the Counter,Skin & Coat Care,
Dog,Dog Apparel,Apparel Accessories,,,,
Cat,Toys,Toys,Hard Goods,Toys,Plush Toys,Basic Plush Toys
Cat,Treats,Soft & Chewy Treats,Cat Consumables,Cat Treats,Dental,Dental
Dog,Prescription Treats,Soft & Chewy Treats,Healthcare,Prescription Food & Treats,Kidney Care,
Cat,Health & Wellness,"Recovery Cones, Collars & Apparel",,,,
Dog,"Beds, Crates & Gear",Crate Mats,Hard Goods,Containment & Gear,Containment,Crate Mats
Cat,Treats,Crunchy Treats,Cat Consumables,Cat Treats,Biscuits & Crunchy,Biscuits & Crunchy
Dog,Leashes & Collars,Harnesses,Hard Goods,"Leashes, Collars & Harnesses",Harnesses,LED & Reflective Harnesses
Dog,Leashes & Collars,Leashes,Hard Goods,Personalized & Gifting,Personalized Pet Products,"Personalized Leashes, Collars, & Harnesses"
Dog,Grooming,Creams & Rinses,Hard Goods,Beauty & Grooming,Skin & Coat Grooming,Creams & Paw Care
Dog,"Beds, Crates & Gear",Doors,Hard Goods,Containment & Gear,Gear,Sliding Doors
Dog,Training,Bark Control & Remote Training,Hard Goods,Technology,Bark Control & Remote Training,Remote Trainer Replacements
Dog,Leashes & Collars,Collars,Hard Goods,"Leashes, Collars & Harnesses",Collars,Standard Solid Color Collars
Cat,Food,Dry Food,Cat Consumables,Cat Food,Dry Food,Mainstream
Dog,Toys,Toys,Hard Goods,Toys,Rope & Tug Toys,Ball & Weave Rope Toys
Dog,Health & Wellness,Dental Care,Healthcare,Over the Counter,Dental Kits,
Dog,Toys,Toys,Hard Goods,Toys,Interactive Toys,Teasers & Wands
Cat,"Beds, Crates & Gear",Doors,Hard Goods,Technology,Electronic Containment,Doors & Accessories
Cat,Grooming,Grooming Tools,Hard Goods,Beauty & Grooming,"Clippers, Blades and Shears",Hair Clippers
Dog,Prescription Treats,Biscuits & Crunchy Treats,Healthcare,Prescription Food & Treats,Weight Management,
Dog,Cleaning,Deodorizers,Hard Goods,Household,Fragrances & Deodorizers,Odor Eliminators
Dog,Prescription Food,Wet Food,Healthcare,Prescription Food & Treats,Digestive Care,
Dog,Leashes & Collars,Harnesses,Hard Goods,"Leashes, Collars & Harnesses",Harnesses,No Pull Harnesses
Dog,Waste Management,Poop Bag Dispensers,Hard Goods,Waste Management,Poop Bag Dispensers,Poop Bag Dispensers
Dog,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,Other Supplements,
Dog,Health & Wellness,Vitamins & Supplements,,,,
Dog,Grooming,Brushes & Combs,Hard Goods,Beauty & Grooming,Brushes & Combs,Curry Brushes
Cat,Toys,Toys,Hard Goods,Toys,Subscription Boxes & Variety Packs,Variety Pack Toys
Cat,Toys,Toys,Hard Goods,Toys,Interactive Toys,Laser Toys
Dog,Dog Apparel,Jerseys,,,,
Cat,Cleaning,Cleaners & Stain Removers,Hard Goods,Waste Management,Cleaners & Stain Removes,Cat Cleaners & Stain Removers
Cat,Prescription Food,Dry Food,Healthcare,Prescription Food & Treats,Diabetic Care,
Dog,Grooming,Shampoos & Conditioners,Hard Goods,Beauty & Grooming,Eye & Ear Grooming,Ear Cleaners
Cat,Prescription Food,Wet Food,Healthcare,Prescription Food & Treats,Oncology Care,
Dog,Dog Apparel,Boots & Socks,Hard Goods,Apparel,Apparel,Evergreen Apparel
Dog,Health & Wellness,Test Kits,Healthcare,Over the Counter,Test Kits,
Cat,Litter & Accessories,Litter,Cat Consumables,Litter,Naturals,Ultra Premium
Cat,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,Dental Supplements,
Cat,Grooming,Brushes & Combs,Hard Goods,Beauty & Grooming,Brushes & Combs,Slicker Brushes
Dog,Toys,Toys,Hard Goods,Toys,Interactive Toys,Other Electronic Toys
Cat,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,Heart & Liver Care,
Cat,Toys,Toys,Hard Goods,Toys,Scratcher Toys,Other Scratcher Toys
Dog,Bowls & Feeders,Placemats,,,,
Dog,Grooming,Grooming Tools,Healthcare,Over the Counter,Medicated Shampoos & Conditioners,
Cat,Prescription Food,Dry Food,,,,
Dog,Cleaning,Deodorizers,Hard Goods,Household,Fragrances & Deodorizers,Candles & Fragrances
Dog,Toys,Toys,Hard Goods,Toys,Chew Toys,Other Chew Toys
Dog,Health & Wellness,Handicap & Injury Support,Healthcare,Over the Counter,"Wheelchairs, Wraps, & Splints",
Dog,Leashes & Collars,Leashes,Hard Goods,"Leashes, Collars & Harnesses",Leashes,Hands-Free Leashes
Cat,Toys,Toys,Hard Goods,Toys,Interactive Toys,Electronic Teasers
Cat,"Beds, Crates & Gear",Furniture,Hard Goods,Beds & Furniture,Furniture,Cat Condos
Cat,Bowls & Feeders,Feeders & Waterers,Hard Goods,Technology,Automation Products,Automatic Feeders
Dog,Leashes & Collars,Collars,Hard Goods,"Leashes, Collars & Harnesses",Collars,Prong Pinch Collars
Cat,Health & Wellness,Stress & Anxiety,Healthcare,Over the Counter,Calming Diffusers & Sprays,
Dog,Cleaning,Deodorizers,,,,
Dog,Bowls & Feeders,Bowls & Diners,Hard Goods,Bowls & Feeders,Bowls & Diners,Water Bottles
Cat,Food,Dry Food,Consumables,Core Food,Dry Food,
Dog,Bowls & Feeders,Placemats,Hard Goods,Bowls & Feeders,Storage & Accessories,Placemats
Dog,Health & Wellness,Dental Care,Healthcare,Health & Wellness,Dental Chews,
Dog,Toys,Toys,Hard Goods,Toys,Chew Toys,Natural Chew Toys
Dog,Health & Wellness,Stress & Anxiety,Healthcare,Over the Counter,Calming Diffusers & Sprays,
Cat,Toys,Toys,Hard Goods,Toys,Interactive Toys,Treat Dispensing Toys
Cat,Grooming,"Sprays, Foams & Wipes",Hard Goods,Beauty & Grooming,Skin & Coat Grooming,Grooming Wipes
Cat,Litter & Accessories,Litter,Cat Consumables,Litter,Clumping Clay,Ultra Premium
Dog,Grooming,Towels & Accessories,Hard Goods,Beauty & Grooming,Grooming Accessories,Tables & Tub Accessories
Dog,Toys,Toys,Hard Goods,Toys,Rope & Tug Toys,Tug Toys
Cat,Grooming,Brushes & Combs,Hard Goods,Beauty & Grooming,Brushes & Combs,"Gloves, Rakes & Blades"
Dog,"Beds, Crates & Gear",Furniture Covers,,,,
Cat,"Beds, Crates & Gear",Beds,,,,
Cat,Treats,Lickable Treats,Cat Consumables,Cat Treats,Lickable,Lickable
Dog,"Beds, Crates & Gear",Crate Mats,Hard Goods,Personalized & Gifting,Personalized Pet Products,"Personalized Beds, Crates, & Gear"
Dog,Training,Sport Training,Hard Goods,"Leashes, Collars & Harnesses",Training & Outdoor,Sport Training
Cat,Toys,Toys,Hard Goods,Toys,Plush Toys,Cat Prey Toys
Cat,Litter & Accessories,Litter,Cat Consumables,Litter,Crystal,Mainstream
Cat,"Beds, Crates & Gear",Pens,Hard Goods,Containment & Gear,Containment,Kennels
Cat,Leashes & Collars,ID Tags & Accessories,Hard Goods,Personalized & Gifting,Personalized ID Tags,Silicone ID Tags
Dog,Grooming,"Sprays, Foams & Wipes",Healthcare,Over the Counter,Eye & Ear Care,
Cat,Bowls & Feeders,Feeders & Waterers,Hard Goods,Bowls & Feeders,Storage & Accessories,Food & Treat Storage
Cat,Grooming,"Sprays, Foams & Wipes",,,,
Dog,Treats,Lickable Treats,Dog Consumables,Dog Treats,Indulgent,Lickable
Dog,Food,Freeze-Dried & Dehydrated Food Toppings,Premium,Pantry,Freeze-Dried & Dehydrated Food Toppings,
Dog,Grooming,Shampoos & Conditioners,Healthcare,Over the Counter,Medicated Shampoos & Conditioners,
Dog,Grooming,Towels & Accessories,Hard Goods,Beauty & Grooming,Grooming Accessories,Towels & Bath Mats
Dog,Training,Bark Control & Remote Training,Hard Goods,Technology,Consumables & Accessories,Batteries
Cat,Health & Wellness,First Aid,Healthcare,Flea & Tick,Spot Treatments,
Cat,Toys,Toys,Hard Goods,Toys,Scratcher Toys,Mid Tier Scratcher Toys
Cat,"Beds, Crates & Gear",Furniture,Hard Goods,Beds & Furniture,Furniture,Cat Trees - Under 30 inches
Cat,Health & Wellness,Vitamins & Supplements,Healthcare,Health & Wellness,Weight Management,
Dog,Treats,Dehydrated Treats,Consumables,Core Treats,Indulgent Treats,
Dog,Food,Wet Food,Consumables,Core Food,Balanced Nutrition,
Cat,Leashes & Collars,Leashes & Harnesses,Hard Goods,"Leashes, Collars & Harnesses",Harnesses,Leashes & Harnesses
Cat,Leashes & Collars,ID Tags & Accessories,Hard Goods,Personalized & Gifting,Personalized ID Tags,Stainless Steel ID Tags
Cat,Treats,Lickable Treats,,,,
Dog,Grooming,Shampoos & Conditioners,Healthcare,Over the Counter,Skin & Coat Care,
Cat,Prescription Food,Dry Food,Healthcare,Prescription Food & Treats,Stress & Anxiety Management,
Dog,"Beds, Crates & Gear",Steps & Ramps,Hard Goods,Containment & Gear,Gear,Plastic Steps & Ramps
Cat,Leashes & Collars,Leashes & Harnesses,Hard Goods,"Leashes, Collars & Harnesses",Harnesses,Standard Pattern & Graphic Harnesses
Dog,Treats,Bully Sticks,Dog Consumables,Dog Treats,Long Lasting,Bully Sticks
Dog,Dog Apparel,Sweaters & Hoodies,Hard Goods,Apparel,Apparel,Micro Season Apparel
Dog,Prescription Food,Dry Food,Healthcare,Prescription Food & Treats,"Allergy, Sensitivities & Respiratory Care",
Cat,Leashes & Collars,Leashes & Harnesses,,,,
Dog,Health & Wellness,First Aid,,,,
Dog,Treats,Lickable Treats,,,,
Cat,Prescription Treats,Crunchy Treats,Healthcare,Prescription Food & Treats,Digestive Care,
Dog,Toys,Toys,Hard Goods,Toys,Puppy Toys,Puppy & Kitten Interactive Toys
Cat,Toys,Toys,Hard Goods,Toys,Chew Toys,Durable Chew Toys
Cat,Health & Wellness,First Aid,Healthcare,Over the Counter,Eye & Ear Care,
Dog,Treats,Biscuits & Crunchy Treats,Dog Consumables,Dog Treats,Pill Wraps,Pill Wraps
Dog,Bowls & Feeders,Feeders & Waterers,,,,
Dog,Grooming,Brushes & Combs,Hard Goods,Beauty & Grooming,Brushes & Combs,Combs
Dog,Treats,Freeze Dried Treats,Dog Consumables,Dog Treats,Indulgent,Freeze Dried & Dehydrated
Dog,"Beds, Crates & Gear",Pens,Hard Goods,Containment & Gear,Containment,Other Pens
Dog,"Beds, Crates & Gear",Beds,Hard Goods,Personalized & Gifting,Personalized Pet Products,"Personalized Beds, Crates, & Gear"
Dog,Food,Dry Food,Premium,Pantry,Dry Food,
Dog,Training,Potty Training,Hard Goods,"Leashes, Collars & Harnesses",Training & Outdoor,Potty Training
Dog,Training,Bark Control & Remote Training,Hard Goods,Technology,Bark Control & Remote Training,GPS
Dog,"Beds, Crates & Gear",Pens,,,,
Cat,"Beds, Crates & Gear",Furniture,Hard Goods,Beds & Furniture,Furniture,Window Perches
Dog,Cleaning,Deodorizers,Hard Goods,Technology,Air Purifiers & Filters,Air Purifiers
Dog,Prescription Food,Wet Food,Healthcare,Prescription Food & Treats,"Hip, Joint & Pain Care",
Cat,Toys,Toys,Hard Goods,Toys,Interactive Toys,Ball & Feather Toys
Cat,Leashes & Collars,Collars,,,,
Dog,Prescription Food,Dry Food,Healthcare,Prescription Food & Treats,Diabetic Care,
Cat,Prescription Food,Dry Food,Healthcare,Prescription Food & Treats,Oncology Care,
Cat,Toys,Toys,Hard Goods,Toys,Scratcher Toys,Basic Flat Scratchers
Cat,Litter & Accessories,Litter,Cat Consumables,Litter,Crystal,Ultra Premium
Cat,Bowls & Feeders,Filters,Hard Goods,Technology,Consumables & Accessories,Filters
Dog,Food,Wet Food,Dog Consumables,Dog Food,Wet Food,Mainstream
Cat,Toys,Toys,Hard Goods,Toys,Scratcher Toys,Interactive Scratchers
Dog,Health & Wellness,Dental Care,Healthcare,Over the Counter,"Dental Sprays, Foams & Wipes",
Dog,Health & Wellness,Medications,Healthcare,Over the Counter,"Allergy, Sensitivities & Respiratory Care",
Dog,Grooming,Grooming Tools,Hard Goods,Beauty & Grooming,"Clippers, Blades and Shears",Hair Removal
Dog,Grooming,"Sprays, Foams & Wipes",Hard Goods,Beauty & Grooming,Skin & Coat Grooming,Shampoos & Conditioners
Dog,"Beds, Crates & Gear",Crates,Hard Goods,Containment & Gear,Containment,Metal Crates
Dog,Grooming,Brushes & Combs,Hard Goods,Beauty & Grooming,Brushes & Combs,"Gloves, Rakes & Blades"
Dog,Treats,Hard Chews,Dog Consumables,Dog Treats,Long Lasting,Hard Chews
Dog,Treats,Natural Chews,Consumables,Core Treats,Natural & Long Lasting Treats,
Dog,"Beds, Crates & Gear",Beds,Hard Goods,Beds & Furniture,Beds,Covered Beds
Dog,"Beds, Crates & Gear",Crates,Hard Goods,Containment & Gear,Containment,Other Crates
Dog,Health & Wellness,Dental Care,Healthcare,Over the Counter,Dental Water Additives,
Cat,Bowls & Feeders,Feeders & Waterers,Hard Goods,Technology,Automation Products,Steel Fountains
Dog,Treats,Soft & Chewy Treats,,,,
Dog,Health & Wellness,First Aid,Healthcare,Over the Counter,Pill Administration,
Cat,Food,Freeze-Dried & Dehydrated Food Toppings,Premium,Pantry,Freeze-Dried & Dehydrated Food Toppings,
Dog,Prescription Food,Wet Food,Healthcare,Prescription Food & Treats,Recovery & Dehydration,
Cat,Treats,Catnip & Pet Grass,,,,
Dog,Leashes & Collars,Leashes,Hard Goods,"Leashes, Collars & Harnesses",Leashes,LED & Reflective Leashes
Dog,Waste Management,Potty Pads & Diapers,Hard Goods,Waste Management,Potty Pads & Diapers,Diapers
Dog,Dog Apparel,Shirts & Dresses,Hard Goods,Apparel,Apparel,Seasonal Apparel
Dog,Cleaning,Vacuums & Steam Cleaners,Hard Goods,Technology,Floorcare,Steam & Carpet Cleaners
Dog,Training,Fence Systems & Accessories,Hard Goods,Technology,Electronic Containment,GPS Fences
Cat,Litter & Accessories,Waste Disposal,Hard Goods,Litter Accessories,Waste Disposal,Bags & Refills
Dog,Health & Wellness,Supplies & Devices,Healthcare,Over the Counter,Nursing Kits & Supplies,
Cat,Health & Wellness,Stress & Anxiety Refills,Healthcare,Over the Counter,Calming Diffuser Refills,
Dog,Training,Bark Control & Remote Training,,,,
Cat,Grooming,Creams & Rinses,Hard Goods,Beauty & Grooming,Skin & Coat Grooming,Creams & Paw Care
Cat,Toys,Toys,Hard Goods,Toys,Chew Toys,Natural Chew Toys
Cat,Treats,Jerky Treats,Cat Consumables,Cat Treats,Jerky,Jerky
Dog,Cleaning,Deodorizers,Hard Goods,Household,Lawn Care & Outdoor,Lawn Treatments
Cat,Litter & Accessories,Litter,Cat Consumables,Litter,Systems,Mainstream
Cat,Prescription Food,Wet Food,Healthcare,Prescription Food & Treats,"Allergy, Sensitivities & Respiratory Care",
Dog,Health & Wellness,Medications,Healthcare,Over the Counter,Eye & Ear Care,
Dog,Food,Dehydrated Food,,,,
Cat,Training,Repellents,Hard Goods,Home Goods,Pet Proofing,"Door, Window & Screen Protectors"
Dog,"Beds, Crates & Gear",Gates,Hard Goods,Containment & Gear,Containment,Wooden & Other Gates
Dog,Toys,Toys,Hard Goods,Toys,Rope & Tug Toys,Basic Rope Toys
Dog,Leashes & Collars,Leashes,Hard Goods,"Leashes, Collars & Harnesses",Leashes,Standard-Leather Leashes
Cat,Leashes & Collars,Collars,Hard Goods,"Leashes, Collars & Harnesses",Collars,Cat collars
Dog,Bowls & Feeders,Bowls & Diners,Hard Goods,Bowls & Feeders,Bowls & Diners,Basic Ceramic Bowls
Dog,Treats,Jerky Treats,Consumables,Core Treats,Indulgent Treats,
Dog,"Beds, Crates & Gear",Crate Accessories,Hard Goods,Containment & Gear,Containment,Crate Covers
Dog,Training,Repellents,Hard Goods,Home Goods,Pet Proofing,Repellents
Cat,"Beds, Crates & Gear",Pens,Hard Goods,Containment & Gear,Containment,Other Pens
Cat,Health & Wellness,Stress & Anxiety,Healthcare,Over the Counter,Calming Diffuser Refills,
Dog,Grooming,"Sprays, Foams & Wipes",Hard Goods,Beauty & Grooming,Skin & Coat Grooming,Tear Stain Removers
Cat,Litter & Accessories,Mats,Consumables,Litter,Mats,
Dog,Cleaning,Vacuums & Steam Cleaners,Hard Goods,Technology,Floorcare,Hand Vacuums
Cat,Toys,Toys,Hard Goods,Toys,Scratcher Toys,Scratch & Roll Toys
Dog,"Beds, Crates & Gear",Doors,Hard Goods,Home Goods,Pet Proofing,Child Locks
Dog,Training,Cameras,,,,
Cat,Toys,Toys,Hard Goods,Toys,Fetch Toys,Launchers
